,year,sentence1,sentence2,score
276,2012test,Một người phụ nữ đang cắt quả bí ngô.,Một người phụ nữ đang cưỡi voi.,0.4
277,2012test,Một người đàn ông đang chơi guitar.,Một người đàn ông chơi guitar acoustic.,3.75
278,2012test,Một người đàn ông đang bơi.,Một người phụ nữ đang thái thịt.,0.0
279,2012test,Có người đang cắt hành tây.,Someoen đang gọt vỏ khoai tây.,1.0
280,2012test,Một người đàn ông đang bắn súng.,Một người đàn ông đang nhổ nước bọt.,0.0
281,2012test,Một người chơi đàn.,Ai đó đang chơi đàn.,5.0
282,2012test,Một cậu bé đang chơi một bàn phím.,Một cậu bé đang chơi piano.,3.2
283,2012test,Hai con cáo đang ăn từ một cái đĩa trên sân gạch.,Cáo đang ăn từ một đĩa.,2.8
284,2012test,Ai đó đang chơi piano.,Một người đàn ông đang chơi guitar.,1.2
285,2012test,Một người đàn ông đang nhảy múa.,Một người đàn ông đang ăn bánh mì.,0.8
286,2012test,Một người đàn ông đang đấm thủng ván gỗ.,Một con chó đang chạy trên mặt nước.,0.4
287,2012test,Người phụ nữ đang cắt bạch tuộc đã nấu chín.,Một người phụ nữ đang cắt bạch tuộc.,3.8
288,2012test,Một người đàn ông đang xẻ khoai tây thành từng miếng.,Một người đàn ông đang cắt khoai tây.,4.2
289,2012test,Một người đàn ông đang mở cửa.,Một người đàn ông đang chơi guitar.,0.8
290,2012test,Một người đàn ông đang cắt cỏ.,Một người phụ nữ đang cắt chanh.,0.2
291,2012test,Một người đàn ông đang chạy qua một sợi dây cao.,Một người đàn ông đang chạy trên dây.,3.0
292,2012test,Một người đàn ông phết bơ lên một miếng bánh mì lớn.,Một người đàn ông đang bôi bơ lên một lát bánh mì tỏi.,3.5
293,2012test,Hai người đàn ông đang nói chuyện.,Hai người đàn ông đang chơi guitar.,1.5
294,2012test,ch một người đang chơi với ếch một người đang chơi với ếch một người đang chơi với ếch một người đang chơi với ếch,Một con mèo đang chơi với máy ảnh.,0.75
295,2012test,Một người phụ nữ giữ một con kangaroo.,Một người phụ nữ đang nhặt một con kangaroo.,3.25
296,2012test,Một con gà trống mổ vào một con chuột chết.,Một con gà đang mổ một con chuột chết.,4.0
297,2012test,Ai đó đang pha trộn những chất độc.,Ai đó đang may đồ.,0.25
298,2012test,Có người đang xẻ thịt tortila.,Có người đang cưỡi ngựa.,0.0
299,2012test,Có người đang cho động vật ăn.,Ai đó đang chơi piano.,0.0
300,2012test,Một người lột vỏ tôm.,Người phụ nữ bóc vỏ tôm.,3.5
301,2012test,Giấy đang được cắt bằng kéo.,Một mảnh giấy đang được cắt.,4.0
302,2012test,Một người đàn ông đang đi bộ với một con ngựa.,Một người dắt ngựa đi vòng quanh bằng dây cương.,3.75
303,2012test,Một người đàn ông đang lắc một vật chứa trên bồn rửa chén.,Một người đàn ông đang đổ một cái hộp nhựa.,2.2
304,2012test,Một con chó đang nhảy trên đệm lò xo.,Một cậu bé đang chơi guitar.,0.0
305,2012test,Một người đàn ông đang chơi guitar.,Có người đang xử lý búi tóc.,0.0
306,2012test,Một đàn chim cánh cụt đang đi.,Một số lượng lớn chim cánh cụt đang hướng về đại dương.,2.8
307,2012test,Một người đang thêm thức ăn vào chảo.,Một người phụ nữ cho cơm vào chảo.,3.0
308,2012test,Một người đang chơi guitar.,Người đàn ông chơi guitar.,3.0
309,2012test,Một cặp đang đi dạo.,Một số người đang cưa xẻ.,0.0
310,2012test,Có kẻ đang đổ chất ăn mòn vào nồi.,Một người đàn ông bỏ rau củ vào nồi.,2.8
311,2012test,Một người đàn ông đang ôm ai đó.,Một người đàn ông đang chụp ảnh.,0.4
312,2012test,Một người đàn ông đang chạy trên cánh đồng.,Một người đàn ông leo lên dây thừng.,1.0
313,2012test,Hai con chó con đang chơi đùa với nhau.,Vài người đàn ông đang chơi bóng đá.,0.2
314,2012test,Một người phụ nữ đang nằm trên một tảng đá và đọc sách.,Một người phụ nữ ngồi đó đang hát và chơi guitar.,1.2
315,2012test,Một người phụ nữ đang thêm mỳ ống vào nồi nước.,Một người phụ nữ đang làm mì.,3.6
316,2012test,Một người đang dính líu tới một cỗ máy ghi tốc ký.,Người đàn ông đã dùng một máy ghi hình.,2.25
317,2012test,Người đàn ông đang bỏ gà vào hộp.,Một người đàn ông đang cho thức ăn vào hộp.,2.5
318,2012test,Viên sĩ quan quát đám tân binh.,Một sĩ quan đang nói chuyện với tân binh.,2.5
319,2012test,Hai người đang đánh nhau.,Hai người đàn ông đang chiến đấu bằng một hình thức võ thuật.,2.8
320,2012test,Một cô gái đang làm mí mắt.,Một phụ nữ đang thoa phấn mắt.,2.0
321,2012test,Con mèo đang uống sữa.,Một con mèo liếm từ một đĩa sữa.,4.4
322,2012test,Một nhóm người hát.,Một số người đang hát.,5.0
323,2012test,Người phụ nữ đang dắt chó đi dạo.,Một người phụ nữ dắt chó đi dạo trên phố.,4.0
324,2012test,Con vật đang ăn.,Một người phụ nữ đang nhảy múa.,0.0
325,2012test,Một người đổ dầu lên chảo.,Một người đang cắt hành tây thành từng lát.,0.8
326,2012test,Một người đàn ông chơi piano.,Một người phụ nữ đang chơi violin.,1.0
327,2012test,Một người đàn ông đang di chuyển một cành cây.,Người phụ nữ đang chơi violin.,0.0
328,2012test,Một người đàn ông và một người phụ nữ đang ngồi trong một chiếc xe hơi.,Một người phụ nữ đang chiên tôm.,0.4
329,2012test,Cây cối đang uốn mình trong bão.,Những cơn gió rất mạnh đã thổi vào những thân cây.,2.667
330,2012test,Người phụ nữ đó là một người trượt nước.,Một người phụ nữ đang thức dậy trên hồ.,1.75
331,2012test,Một bà lão đang bắt tay một người đàn ông.,Một người đàn ông và một người phụ nữ bắt tay nhau.,3.75
332,2012test,Một người phụ nữ đội vòng hoa lên vai một người đàn ông.,Một người đàn ông đổ nước lên đầu phi công.,0.5
333,2012test,Một phụ nữ đang bắn súng.,Một người đàn ông đang thực hiện những pha nguy hiểm.,0.25
334,2012test,Một người phụ nữ đang gọt khoai tây.,Một con sư tử đang đi lại xung quanh.,0.0
335,2012test,Một người phụ nữ đang phấn mặt.,Người phụ nữ đang gõ ngón tay lên bàn.,0.8
336,2012test,Cậu bé đang hát và chơi guitar.,Một đứa bé đang chơi guitar.,2.8
337,2012test,Một người đàn ông đang chơi guitar.,Một người phụ nữ đang thái lát thịt lợn.,0.0
338,2012test,Một người đàn ông đang chống đẩy.,Một người phụ nữ đang cắt bạch tuộc.,0.0
339,2012test,Một người đàn ông đang đi xe đạp.,Một người phụ nữ đang nhảy múa trên đường phố.,0.2
340,2012test,Một người đàn ông đang câu cá dưới sông.,Một người đàn ông đang hát khi đi bộ trên vỉa hè.,0.8
341,2012test,Người đàn ông đang cắt băng dính từ hộp.,Một người đàn ông đang mổ mở một cái hộp.,4.333
342,2012test,Người đã đốt máy quay.,Một người đang thổi đốt cháy máy ảnh.,3.333
343,2012test,Một người đang làm trò mẹo bút chì bằng tay.,Một người đang thái cà rốt làm đôi.,0.333
344,2012test,Một người đàn ông đang cưỡi ngựa và nhảy qua chướng ngại vật.,Một người đàn ông đang đá bóng.,0.333
345,2012test,Động vật đang chơi đùa dưới nước.,Hai người đàn ông đang chơi bóng bàn.,0.0
346,2012test,Một người đàn ông đang học toán.,Một người đàn ông đang rửa miếng thịt.,0.0
347,2012test,Một người phụ nữ bóc vỏ một quả táo.,Một người đàn ông trên mô tô kêu lốp bốp.,0.0
348,2012test,Có người bị ngã ngựa.,Một người bị ngã ngựa.,3.5
349,2012test,Gấu mèo đang ăn.,Một người đàn ông đang ăn.,1.5
350,2012test,Bơ được cho vào bát.,Một người đàn ông cắt bơ vào bát.,4.25
351,2012test,Con chó đi dọc theo bờ hồ.,Một con chó đang đi dạo quanh hồ bơi.,4.6
352,2012test,Một người đàn ông đang lắp ráp các bộ phận loa.,Một người đàn ông đang chơi guitar.,1.0
353,2012test,Một người phụ nữ đang mở một lon soda và uống nó.,Một người phụ nữ đang cưỡi voi.,0.6
354,2012test,Một cậu bé đang thực hiện một số bước nhảy.,Một cậu bé đang đổ thứ gì đó từ bình.,0.4
355,2012test,Một cậu bé đang đẩy xe tải.,Một người đang cắt lát một quả cà chua.,0.0
356,2012test,Một người phụ nữ đang nhảy với những người phụ nữ khác.,Một người phụ nữ đang xé xác con gà.,0.4
357,2012test,Một con chó đang chơi trên tuyết.,Một con chó đang cào cào một con ruồi trên thảm trước mặt nó.,1.6
358,2012test,Tên lửa phát nổ.,Một tên lửa nổ tung.,3.2
359,2012test,Người phụ nữ cắt khoai tây.,Một người đàn ông đang cắt khoai tây.,2.4
360,2012test,Người ta cưỡi và chèo một chiếc bè.,Bốn người đang trôi trên một chiếc bè.,2.25
361,2012test,Cô bé chơi trên cỏ với một con chó và một quả bóng.,Một đứa bé chơi với một con chó và quả bóng.,3.8
362,2012test,Một cô gái đang ăn bánh cupcake.,Một người đang cắt dưa leo.,0.0
363,2012test,Một người đàn ông đang chơi guitar.,Một người phụ nữ đang cắt rau.,0.0
364,2012test,Một người đàn ông đang đập bể nước.,Một phụ nữ đang bóc tỏi.,0.2
365,2012test,Một người phụ nữ đang cắt bạch tuộc.,Một người đàn ông đang chơi guitar.,0.0
366,2012test,Một người đang cưỡi ngựa.,Một người phụ nữ đang thái khoai tây.,0.0
367,2012test,Một người đàn ông đang cầm một chiếc lá.,Một người phụ nữ đang xem TV.,0.0
368,2012test,Một người đàn ông đang chết trong phòng mổ.,Một người đàn ông đang hôn một người phụ nữ trên sân khấu.,0.4
369,2012test,Một người phụ nữ đang nghỉ ngơi trên một chiếc bè nổi.,Một phụ nữ thư giãn trong một ống nội soi.,3.8
370,2012test,Một con gấu đang chạy trốn hai con chó.,Một con gấu đang chiến đấu với sói.,1.4
371,2012test,Một chiếc máy bay đang bay trên không.,Một chiếc máy bay của hãng hàng không Nam Phi đang bay trên bầu trời xanh.,3.4
372,2012test,Một người đàn ông đang chơi guitar.,Một người phụ nữ đang nhảy múa.,0.2
373,2012test,Một phụ nữ bơi dưới nước.,Một người phụ nữ đang bơi.,3.8
374,2012test,Mọi người nhảy vào hồ bơi.,Đàn ông đang rơi xuống hồ.,2.75
375,2012test,Thằng bé bị kẹt trong cửa nhà chó.,Một đứa trẻ bị mắc kẹt trong chuồng chó.,3.75
376,2012test,Một con mèo đang xem TV.,Một người đang cắt ngang một kỳ nghỉ phép.,0.0
377,2012test,Một người đang cắt cỏ.,Một người đàn ông đang phá bê tông.,0.833
378,2012test,Một người phụ nữ đang moi xương một con cá.,Một người đàn ông bắt được một con cá.,1.25
379,2012test,Một con chó cắn vào lon.,Một con chó mở hộp thức ăn.,1.75
380,2012test,Người phụ nữ nhặt con kangaroo lên.,Một người phụ nữ mang theo một con kangaroo.,3.5
381,2012test,Một người phụ nữ đang cắt hành tây.,Một người phụ nữ đang cắt một phần hành tây thành nửa.,3.2
382,2012test,Một cụ bà đang đổ dầu vào chảo chiên.,Một người bị trói đang thả xuống nước.,0.0
383,2012test,Một người đàn ông bỏ gia vị vào bát nước.,Người đàn ông thêm gia vị vào nước trong một cái bát.,5.0
384,2012test,Một người phụ nữ đang chiên thứ gì đó trong chảo.,Một người đàn ông đang chơi guitar.,0.0
385,2012test,Một con chó nằm ngửa trên sàn gỗ.,Một con chó nằm trên sàn.,4.0
386,2012test,Một con khỉ kéo đuôi một con chó.,Một con khỉ đang trêu chọc một con chó ở sở thú.,2.8
387,2012test,Một người đàn ông đang ngửi hai cái pizza.,Một người phụ nữ đang cho một người đàn ông ăn.,0.2
388,2012test,Một người đàn ông đang chơi đàn.,Một người đang chơi đàn piano.,2.2
